"","County","Democrat vote raw","Democrat vote %","Republican vote raw","Republican vote %","Other vote raw","Other vote %","Less than 9th grade","9th to 12th grade","HS graduate and eq","College,No Degree","Associates Degree","Bachelors Degree","Graduate or professional degree","Gini Index","Median income","Mean income","Area","Density","Total Pop","Hispanic or Latino %","NH-White %","NH-Black %","NH-American Native %","NH-Asian %","NH-Native Pacific Islander %","NH-Other Race %","NH-Two or More Races %","% in Management, business, science, and arts","% in Service","% in Sales and Office","% in Resources and Construction","% in Transportation","Party"
"1","Alameda County",617659,80.23,136309,17.71,15896,2.06,5.9,4.8,16.2,15.7,6.4,28.8,22.2,0.4694,122488,164668,1910.01,871.11,1682353,23.4,28.07,9.48,0.25,32.13,0.79,0.62,5.26,54.08,13.77,16.95,5.68,9.52,"Democrat"
"2","Alpine County",476,64.24,244,32.93,21,2.83,4.1,2.6,20.1,24.1,9.5,23.2,16.4,0.5733,101125,164883,1912.29,0.79,1204,6.98,66.53,0.83,17.77,1,0,0.58,6.31,47.68,9.91,20.28,7.28,14.86,"Democrat"
"3","Amador County",8153,36.56,13585,60.91,564,2.53,2.6,6.9,28.8,27.2,13.9,14.4,6.2,0.4569,74853,99147,1539.97,26.35,40474,14.86,73.44,3,1.43,1.37,0.18,0.62,5.11,34.7,23.63,19.28,12.26,10.12,"Republican"
"4","Butte County",50426,49.42,48730,47.75,2886,2.83,3.5,6.2,22.3,26.8,10.4,20.2,10.6,0.4831,66085,92479,4238.49,50.4,211632,18.95,65.99,1.57,1.44,4.88,0.24,0.56,6.37,38.61,20.97,21.59,8.45,10.38,"Democrat"
"5","Calaveras County",10046,36.98,16518,60.81,600,2.21,1.6,5.9,31.3,29.2,10.7,14.5,6.9,0.4278,77526,97040,2641.83,17.29,45292,12.95,76.54,0.74,1.1,1.56,0.17,0.59,6.36,31.79,26.2,21.66,11.56,8.78,"Republican"
"6","Colusa County",3234,40.67,4554,57.28,163,2.05,18,8.7,29.3,19.5,10.2,10.9,3.4,0.4622,69619,91248,2980.25,7.32,21839,61.71,31.78,0.83,1.28,1.15,0.32,0.42,2.5,23.92,15.39,16.16,23.73,20.81,"Republican"
"7","Contra Costa County",416386,71.64,152877,26.3,11967,2.06,5.3,5,17.6,19.4,8.3,27.2,17.3,0.4713,120020,165199,1856.75,626.17,1165927,27.01,39.06,8.4,0.22,18.4,0.49,0.72,5.7,47.15,16.69,19.71,7.54,8.92,"Democrat"
"8","Del Norte County",4677,40.84,6461,56.42,314,2.74,4.8,12,28,28,9.5,11.1,6.6,0.4318,61149,79344,2606.05,10.54,27743,19.18,58.62,3.03,7.7,2.98,0.1,0.44,7.96,31.67,30.47,18.31,11.18,8.37,"Republican"
"9","El Dorado County",51621,44.45,61838,53.25,2679,2.31,2.1,3.2,20.6,25.2,11,25.2,12.7,0.4803,99246,139272,4423.29,43.34,191185,13.84,73.3,0.75,0.67,4.72,0.14,0.64,5.94,44.29,19.09,19.98,9.07,7.57,"Republican"
"10","Fresno County",193025,52.91,164464,45.08,7320,2.01,12.2,9.6,22.7,23.1,9,15.5,7.9,0.473,67756,91924,15432.14,65.34,1008654,53.61,26.96,4.39,0.6,10.87,0.12,0.52,2.93,32.64,19.27,20.07,13.95,14.07,"Democrat"
"11","Glenn County",3995,35.38,7063,62.55,234,2.07,13.2,9,31.3,23,8.6,11.5,3.4,0.414,64033,78523,3403.16,8.42,28917,43.37,48.06,0.48,1.84,2.16,0.13,0.5,3.45,24.04,16.98,20.65,19.85,18.48,"Republican"
"12","Humboldt County",44768,65.04,21770,31.63,2290,3.33,2.5,6.2,23.7,26.8,9.8,20.3,10.8,0.4811,57881,81887,9241.14,14.73,136463,13.58,68.38,1.27,5.46,2.56,0.32,0.8,7.63,36.58,21.43,20.02,10.37,11.59,"Democrat"
"13","Imperial County",34678,61.14,20847,36.76,1193,2.1,14.3,14.4,25.3,22.5,7.6,11.8,4.1,0.4589,53847,72923,10814.57,16.61,179702,85.16,9.36,2.14,0.88,1.25,0.05,0.29,0.88,25.02,27,19.69,15.25,13.04,"Democrat"
"14","Inyo County",4634,48.88,4620,48.73,227,2.39,2.8,4.1,28,27,9.2,17.4,11.6,0.4487,63417,83422,26410.78,0.71,19016,23.13,58.03,0.45,11.51,1.44,0.07,0.46,4.92,36.71,21.49,25.94,9.81,6.05,"Democrat"
"15","Kern County",133366,43.69,164484,53.89,7376,2.42,12.8,10.6,27.4,23,7.8,12.1,6.2,0.4695,63883,87915,21068.71,43.04,909235,54.9,30.75,5.14,0.57,4.87,0.12,0.5,3.14,29.14,18.55,18.79,18.86,14.66,"Republican"
"16","Kings County",18699,42.64,24072,54.89,1087,2.48,13.2,12.3,27,23.7,9,10,4.7,0.4126,68540,85040,3602.6,42.33,152486,56.8,29.09,5.44,1.11,3.61,0.22,0.47,3.26,25.44,20.75,17.26,20.33,16.21,"Republican"
"17","Lake County",14941,51.88,13123,45.57,736,2.56,4.9,8.5,28.4,27.8,12.2,12.1,6.1,0.4904,56259,83917,3250.65,20.93,68163,22.65,64.85,1.7,2.55,1.38,0.13,0.57,6.17,30.72,24.85,18.51,14.85,11.07,"Democrat"
"18","Lassen County",2799,23.35,8970,74.84,216,1.8,5.5,14,31.9,27.4,9,9,3.1,0.4179,59515,76595,11762.09,2.71,32730,23.01,59.68,6.86,2.87,1.44,0.86,0.43,4.84,29.65,25.08,18.91,11.01,15.34,"Republican"
"19","Los Angeles County",3028885,71.04,1145530,26.87,89028,2.09,11.7,8,20.4,18.2,7,22.3,12.3,0.4982,83411,119756,10515.99,944.91,10014009,47.98,25.6,7.6,0.18,14.72,0.2,0.59,3.13,40.19,18.2,20.88,7.63,13.1,"Democrat"
"20","Madera County",23168,43.13,29378,54.69,1176,2.19,16.5,11.4,23.1,24.2,7.6,11.6,5.5,0.4535,73543,94764,5534.59,28.41,156255,59.63,30.97,2.64,1.11,2.29,0.08,0.46,2.81,28.15,17.93,17.66,21.73,14.52,"Republican"
"21","Marin County",128288,82.34,24612,15.8,2901,1.86,4.1,2.5,10.3,15.6,6.3,34.1,27.1,0.5157,142019,215832,1347.16,193.36,262321,18.84,66.01,2.33,0.21,6.17,0.17,0.78,5.5,56.79,13.34,19.71,5.53,4.64,"Democrat"
"22","Mariposa County",4088,39.77,5950,57.88,242,2.35,2.2,6,21.8,30.4,10.7,19.5,9.4,0.4371,60021,79433,3752.48,4.56,17131,12.49,74.94,0.61,2.39,1.68,0.09,0.67,7.13,34.03,27.14,19.39,10.82,8.62,"Republican"
"23","Mendocino County",28782,66.42,13267,30.61,1287,2.97,6.2,7,25.5,27.7,9.6,14.4,9.6,0.4805,61335,86870,9082.59,10.04,91601,26.13,61.36,0.66,3.85,1.89,0.12,0.65,5.34,31.12,22.28,22.26,12.94,11.4,"Democrat"
"24","Merced County",48991,54.11,39397,43.51,2153,2.38,16.8,11.8,27.8,21.3,7.7,10.2,4.5,0.4581,64772,86076,5019.41,56.24,281202,61.83,24.44,2.91,0.41,7.05,0.22,0.44,2.69,25.68,17.33,17.28,19.71,20,"Democrat"
"25","Modoc County",1150,26.51,3109,71.67,79,1.82,5,6.7,29.4,26.5,8.6,16.3,7.5,0.4073,54962,68080,10225.88,0.85,8700,14.47,74.09,0.76,4.45,0.7,0.15,0.64,4.74,42.03,22.11,17.79,12.42,5.65,"Republican"
"26","Mono County",4013,59.57,2513,37.3,211,3.13,6.5,6.4,19.9,25.1,10.4,19.7,12,0.4089,82038,100757,7896.63,1.67,13195,26.58,65.77,0.52,1.34,1.21,0.2,0.59,3.8,41.23,25.35,12.96,11.87,8.6,"Democrat"
"27","Monterey County",113953,69.53,46299,28.25,3631,2.22,17.2,9.4,20.4,17.6,8.3,16.3,10.8,0.4596,91043,123405,8499.61,51.49,439035,60.43,27.35,2.06,0.3,5.72,0.42,0.49,3.22,31.81,19.4,18.4,18.62,11.78,"Democrat"
"28","Napa County",49817,69.07,20676,28.67,1629,2.26,9.8,5.8,17.4,20.5,8.7,24.5,13.4,0.4757,105809,146888,1947.61,70.54,138019,35.38,49.93,1.67,0.37,7.62,0.23,0.66,4.15,38.92,19.76,19.63,10.28,11.41,"Democrat"
"29","Nevada County",36359,56.16,26779,41.37,1600,2.47,1.6,3.3,19.9,26.5,9.9,25.1,13.7,0.4727,79395,110539,2480.59,41.25,102241,10.19,80.99,0.41,0.68,1.34,0.12,0.6,5.67,43.48,18.24,20.87,10.19,7.22,"Democrat"
"30","Orange County",814009,53.49,676498,44.46,31218,2.05,7.3,5.9,17.3,19.2,7.6,26.9,15.8,0.468,109361,147182,2053.5,1546.25,3186989,34.1,37.61,1.55,0.17,21.94,0.24,0.46,3.93,45.64,16.39,21.75,6.09,10.13,"Democrat"
"31","Placer County",106869,45.47,122488,52.12,5660,2.41,2,3.1,17.4,23.9,11.2,27.7,14.8,0.4445,109375,140703,3644.33,111.57,404739,14.98,67.32,1.59,0.5,8.59,0.24,0.52,6.26,49.05,15.83,21.91,6.15,7.07,"Republican"
"32","Plumas County",4561,40.52,6445,57.26,250,2.22,2.2,3.7,27.5,35.3,10.1,14.6,6.6,0.4703,67885,95940,6612.4,2.97,19790,9.59,80.84,0.52,1.93,0.73,0.2,0.58,5.61,34.37,25.05,17.4,10.39,12.79,"Republican"
"33","Riverside County",527945,53,448702,45.04,19509,1.96,9,7.9,26.8,23.7,8.6,15.4,8.7,0.4476,84505,110021,18671.88,130.11,2418185,49.72,32.6,6.07,0.49,6.82,0.28,0.51,3.51,31.97,19.86,22.05,11.16,14.96,"Democrat"
"34","Sacramento County",440808,61.37,259405,36.11,18077,2.52,6.1,5.5,21.9,24.1,9.8,21.1,11.5,0.4444,84010,108612,2500.06,631.67,1585055,23.62,41.03,9.19,0.47,17.43,1.14,0.64,6.48,40.91,18.19,21.83,7.65,11.42,"Democrat"
"35","San Benito County",17628,61.16,10590,36.74,603,2.09,9.9,6.4,26.5,24.4,10.7,15.8,6.2,0.4065,104451,129829,3596.59,18,64209,61.11,30.81,0.75,0.34,3.41,0.2,0.52,2.86,30.45,18.56,20.57,15.68,14.74,"Democrat"
"36","San Bernardino County",455859,54.21,366257,43.55,18815,2.24,8.5,10.1,27.2,23.3,8.4,14.5,7.9,0.439,77423,100078,51976.31,41.95,2181654,53.67,25.95,7.94,0.39,8.08,0.28,0.56,3.14,30.96,17.98,21.19,10.1,19.77,"Democrat"
"37","San Diego County",964650,60.23,600094,37.47,36978,2.31,6,5.3,18.1,21.2,8.4,25,16.1,0.4602,96974,129234,10905.04,301.67,3298634,33.94,43.11,4.4,0.39,12.14,0.39,0.55,5.07,45.37,17.95,19.64,7.23,9.81,"Democrat"
"38","San Francisco County",378156,85.27,56417,12.72,8885,2,6.9,4.3,11.6,12.2,5.3,35.1,24.7,0.5172,136689,197408,120.95,7036.26,873965,15.65,39.05,5.16,0.18,33.66,0.37,0.73,5.2,62.05,13.45,16.16,2.78,5.56,"Democrat"
"39","San Joaquin County",161137,55.86,121098,41.98,6208,2.15,11.4,8.4,28.4,22.2,9.4,13.8,6.5,0.4434,82837,107068,3605.88,216.16,779233,41.8,27.66,7.3,0.4,17.28,0.64,0.54,4.38,30.08,17.89,19.49,13.81,18.74,"Democrat"
"40","San Luis Obispo County",88310,55.3,67436,42.23,3935,2.46,3.4,4.6,18.7,25,10.4,23.9,14.1,0.4724,90158,121160,8549.14,32.95,282424,24.05,64.96,1.53,0.4,3.54,0.12,0.57,4.82,40.81,19.45,20.83,9.73,9.18,"Democrat"
"41","San Mateo County",291410,77.89,75563,20.2,7165,1.92,5.5,3.9,14.9,16,6.9,29.4,23.5,0.493,149907,216684,1161.88,649.16,764442,25.04,36.09,1.92,0.13,29.8,1.16,0.76,5.1,53.69,15.19,17.26,5.95,7.92,"Democrat"
"42","Santa Barbara County",129963,64.89,65736,32.82,4589,2.29,11.3,6.6,17.2,20.7,8.5,21.3,14.4,0.4886,92332,131742,7080.87,62.88,448229,46.98,41.22,1.44,0.39,5.66,0.12,0.53,3.66,38.88,20.08,18.18,13.28,9.59,"Democrat"
"43","Santa Clara County",617967,72.66,214612,25.23,17943,2.11,6.3,4.4,13.5,13.8,6.7,28.1,27.2,0.4741,153792,210349,3343.89,573.23,1936259,25.17,28.7,2.18,0.17,38.91,0.31,0.53,4.04,57.78,13.6,15.31,5.57,7.73,"Democrat"
"44","Santa Cruz County",114246,78.9,26937,18.6,3613,2.5,7.2,4.1,15.8,22.1,8.3,24.6,17.9,0.4818,104409,146532,1152.82,232.97,270861,34.81,53.74,1.05,0.31,4.46,0.1,0.61,4.91,46.7,16.75,17.99,9.68,8.87,"Democrat"
"45","Shasta County",30000,32.29,60789,65.43,2111,2.27,2.1,6.1,25.8,31.4,12,15.3,7.4,0.4601,68347,91289,9778.89,18.6,182155,10.83,75.15,0.97,2.22,3.21,0.18,0.57,6.88,37.07,21.64,21.02,9.89,10.37,"Republican"
"46","Sierra County",730,37.82,1142,59.17,58,3.01,2.8,3.6,33,28.2,8.4,11.8,12.1,0.4793,61108,89205,2468.69,1.18,3236,11.65,80.81,0.22,0.56,0.22,0.03,0.77,5.75,51.17,11.75,17.38,10.46,9.25,"Republican"
"47","Siskiyou County",9593,40.91,13290,56.67,567,2.42,3.7,5.8,27,28.8,12.8,14.9,7.1,0.4913,53898,76371,16261.93,2.71,44076,12.54,72.73,1.07,3.99,1.96,0.09,0.6,7.02,33.44,24.48,17.99,12.71,11.39,"Republican"
"48","Solano County",131639,63.95,69306,33.67,4886,2.37,5.5,5.6,23.8,26.4,10.5,19.3,8.9,0.4207,97037,121293,2128.29,211.9,453491,28.26,34.21,13.24,0.36,15.65,0.83,0.66,6.8,34.48,19.37,21.96,10.5,13.69,"Democrat"
"49","Sonoma County",199938,74.53,61825,23.05,6489,2.42,5.9,4.9,18.1,23.9,9.4,23.3,14.5,0.4588,99266,133119,4080.1,119.71,488863,28.93,58.46,1.46,0.62,4.55,0.35,0.6,5.03,41.29,18.68,20.19,10.17,9.66,"Democrat"
"50","Stanislaus County",105841,49.26,104145,48.47,4890,2.28,10.9,8.8,30.1,24.1,7.9,12.6,5.6,0.4418,74872,97409,3875.01,142.47,552878,48.11,37.6,2.59,0.47,6,0.67,0.49,4.06,29.45,18.28,19.36,14.04,18.87,"Democrat"
"51","Sutter County",17367,40.73,24375,57.16,898,2.11,10.4,10,24.1,24.8,10,14,6.7,0.4606,72654,100982,1560.98,63.49,99633,31.68,41.52,1.78,0.87,18.08,0.28,0.61,5.18,29.44,19.82,20.03,15.9,14.81,"Republican"
"52","Tehama County",8911,31.03,19141,66.64,669,2.33,5.4,7.5,30.1,28.5,10.4,13.2,4.9,0.5057,59029,87477,7638.23,8.57,65829,27.25,62.8,0.59,1.77,1.5,0.15,0.49,5.45,26.09,19.35,22.61,15.36,16.59,"Republican"
"53","Trinity County",2851,45.56,3188,50.94,219,3.5,1.4,3.3,44.6,25.5,6,11.7,7.5,0.511,47317,73300,8234.27,1.93,16112,5.82,70.59,0.41,2.58,13.73,0.15,0.66,6.06,35.98,25.83,11.88,17.33,8.98,"Republican"
"54","Tulare County",66105,45.02,77579,52.84,3148,2.14,16.7,9.9,26.4,22.4,9.2,10.1,5.5,0.4524,64474,85832,12493.84,37.89,473117,65.5,26.43,1.13,0.73,3.38,0.11,0.45,2.28,26.61,18.77,18.82,20.28,15.52,"Republican"
"55","Tuolumne County",11978,39.4,17689,58.19,734,2.41,1.6,5.9,24.7,32.3,11,16.5,7.9,0.4533,70432,94641,5752.13,9.56,55620,12.81,75.97,1.78,1.41,1.38,0.2,0.56,5.89,37.15,25.43,17.61,9.64,10.17,"Republican"
"56","Ventura County",251388,59.47,162207,38.37,9103,2.15,8.7,5.9,19.7,20.9,10.1,21.8,12.9,0.4497,102141,135094,4767.58,176.61,843843,43.29,42.76,1.62,0.24,7.5,0.17,0.53,3.89,39.49,17.45,20.51,11.77,10.79,"Democrat"
"57","Yolo County",67598,69.5,27292,28.06,2374,2.44,7,5.1,18,19.1,7.5,22.4,20.9,0.4885,85097,117611,2623.63,82.76,216403,33.13,43.4,2.64,0.44,13.8,0.5,0.59,5.5,46.29,17.16,16.47,9.01,11.08,"Democrat"
"58","Yuba County",11230,37.7,17676,59.34,881,2.96,8,9.3,25.4,29.3,10.6,11.5,5.9,0.4377,66693,85286,1636.89,49.91,81575,28.83,51.18,3.47,1.27,6.84,0.46,0.56,7.39,31.09,19.85,19.11,15.17,14.77,"Republican"
