"","County","Democrat vote raw","Democrat vote %","Republican vote raw","Republican vote %","Other vote raw","Other vote %","Less than 9th grade","9th to 12th grade","HS graduate and eq","College,No Degree","Associates Degree","Bachelors Degree","Graduate or professional degree","Gini Index","Median income","Mean income","Area","Density","Total Pop","Hispanic or Latino %","NH-White %","NH-Black %","NH-American Native %","NH-Asian %","NH-Native Pacific Islander %","NH-Other Race %","NH-Two or More Races %","% in Management, business, science, and arts","% in Service","% in Sales and Office","% in Resources and Construction","% in Transportation","Party"
"1","Adams County",8633,25.75,24220,72.24,674,2.01,1.5,5.1,34.5,22.1,9.8,17.9,9,0.4368,63767,81360,2214.83,29.61,65737,1.96,88.82,3.75,0.14,0.76,0.05,0.34,4.18,34.89,18.36,21.9,8.41,16.45,"Republican"
"2","Alexander County",1114,42.55,1486,56.76,18,0.69,4.8,8.9,41.8,26.7,7.5,5.9,4.4,0.4506,40365,53921,609.67,8.63,5240,1.56,62.48,30.76,0.42,0.11,0,0.15,4.5,23.3,20.1,20.8,6.46,29.33,"Republican"
"3","Bond County",2288,28.09,5625,69.07,231,2.84,2.3,8.8,32.5,25.7,9.7,12.2,8.9,0.4306,58617,76759,985.07,17,16725,3.61,85.29,6.42,0.31,0.56,0.07,0.56,3.19,30.09,22.39,15.79,12.93,18.81,"Republican"
"4","Boone County",10542,42.2,13883,55.58,554,2.22,7,6.4,32.3,22.4,7.9,15.1,8.9,0.4239,80502,100719,727.11,73.52,53448,24.1,68.64,2.19,0.13,1.19,0.02,0.34,3.38,31.98,18.87,19.23,9.4,20.53,"Republican"
"5","Brown County",486,19.25,1931,76.48,108,4.28,3.7,16,40,18.5,7.8,10.8,3.3,0.407,64760,75886,791.83,8,6244,4.52,76.3,16.58,0.11,0.18,0,0.03,2.29,25.19,20.97,21.71,13.48,18.65,"Republican"
"6","Bureau County",6669,38.25,10411,59.72,354,2.03,3,6.7,34.9,24.2,9.8,14.2,7.3,0.429,64165,81875,2250.88,14.75,33244,9.31,85.76,0.78,0.15,0.9,0.06,0.15,2.89,28.87,17.23,20.46,10.33,23.1,"Republican"
"7","Calhoun County",677,24.41,2046,73.78,50,1.8,1.7,6.3,36.2,17.8,18.4,13.8,5.7,0.4094,88059,106062,657.42,6.8,4437,1.44,95.04,0.16,0.09,0.16,0,0.14,2.97,44.92,14.29,19.32,10.17,11.3,"Republican"
"8","Carroll County",2748,34.25,5105,63.62,171,2.13,3.8,7.8,35.9,25,8.8,13.6,5.1,0.4152,61539,78177,1153.6,13.52,15702,4.82,87.52,4.31,0.31,0.25,0.03,0.2,2.55,30.67,13.56,18.62,8.58,28.57,"Republican"
"9","Cass County",1615,30.32,3625,68.06,86,1.61,6.6,7.2,42.6,17,7.4,14.3,4.9,0.4039,64826,75705,973.2,13.31,13042,21.38,69.48,5.41,0.28,0.9,0.25,0.08,2.22,22.76,17.1,18,14.74,27.41,"Republican"
"10","Champaign County",57067,59.71,35285,36.92,3216,3.37,1.7,3.7,22,18.3,8.8,20.7,24.9,0.4977,61090,86280,2579.9,80.05,205865,8.1,60.86,13.71,0.14,11.86,0.03,0.44,4.88,49.79,16.62,17.23,5.37,10.99,"Democrat"
"11","Christian County",4335,26.75,11563,71.36,306,1.89,2.1,7.5,44,19.6,9.7,12.4,4.8,0.4327,56933,70766,1837.55,18.44,34032,3.21,91.75,1.12,0.17,0.53,0,0.18,3.04,31.79,20.58,20.8,10.3,16.53,"Republican"
"12","Clark County",1993,23.85,6226,74.52,136,1.63,2.3,5.5,35.3,17.7,14.8,16.7,7.8,0.3952,65874,79807,1298.55,11.91,15455,1.59,94.99,0.35,0.18,0.34,0,0.19,2.36,36.13,15.5,15.37,13.44,19.56,"Republican"
"13","Clay County",1129,16.36,5629,81.59,141,2.04,4.5,7.4,37.6,20.8,14.8,9.6,5.4,0.451,58028,76897,1213.02,10.92,13288,1.68,93.93,0.23,0.25,0.58,0,0.14,3.21,34.01,15.53,17.71,13.96,18.79,"Republican"
"14","Clinton County",4493,23.38,14304,74.45,417,2.17,3,5,33,19.3,16,16.5,7.1,0.4297,78054,99933,1227.5,30.14,36899,3.76,89.01,3.09,0.22,0.47,0.01,0.25,3.18,39.89,16.15,15.81,11.62,16.54,"Republican"
"15","Coles County",8067,35.69,14037,62.09,502,2.22,2.1,5.9,31.8,22.2,11,16,11,0.4747,53732,74067,1316.42,35.76,46863,3.77,86.11,4.36,0.17,1.32,0.05,0.45,3.77,34.07,20.36,20,8.26,17.32,"Republican"
"16","Cook County",1725973,74.35,558269,24.05,37157,1.6,6.1,5.7,22.3,17.8,6.8,24,17.3,0.5048,78304,113411,2447.35,2135.11,5275541,26.21,40.47,22.47,0.11,7.75,0.02,0.39,2.58,44.57,16.48,19.7,5.78,13.47,"Democrat"
"17","Crawford County",2202,23.32,7043,74.6,196,2.08,3,8.3,28.6,21.5,19.6,12.3,6.6,0.4395,64163,81010,1149.03,16.3,18679,2.39,90.7,3.25,0.19,0.41,0.01,0.16,2.89,31.36,21.65,13.98,10.31,22.69,"Republican"
"18","Cumberland County",1142,19.52,4601,78.65,107,1.83,2.3,4.2,39,20.2,16.5,11.9,5.8,0.3995,71274,84760,895.99,11.66,10450,1.07,95.19,0.27,0.12,0.2,0,0.16,2.99,27.68,16.8,18.63,12.15,24.75,"Republican"
"19","De Witt County",2191,27.31,5632,70.19,201,2.5,1.6,4.3,41.3,23.6,7.8,14.3,7.2,0.4242,61823,80318,1029.68,15.09,15516,3.29,92.61,0.7,0.12,0.26,0.1,0.1,2.82,30.39,19.35,20.9,12.89,16.48,"Republican"
