"","County","Democrat vote raw","Democrat vote %","Republican vote raw","Republican vote %","Other vote raw","Other vote %","Less than 9th grade","9th to 12th grade","HS graduate and eq","College,No Degree","Associates Degree","Bachelors Degree","Graduate or professional degree","Gini Index","Median income","Mean income","Area","Density","Total Pop","Hispanic or Latino %","NH-White %","NH-Black %","NH-American Native %","NH-Asian %","NH-Native Pacific Islander %","NH-Other Race %","NH-Two or More Races %","% in Management, business, science, and arts","% in Service","% in Sales and Office","% in Resources and Construction","% in Transportation","Party"
"1","Anderson County",3955,20.57,15110,78.59,162,0.84,5.5,9.7,38.2,24.3,9.1,9.1,4,0.4294,57445,72139,2752.16,21.1,57922,19.18,57.14,19.73,0.33,0.66,0.02,0.2,2.73,28.31,21.34,19.18,14.01,17.16,"Republican"
"2","Andrews County",850,14.5,4943,84.31,70,1.19,14.5,11.7,29.2,17.3,7.6,14.8,4.9,0.4628,86458,112085,3886.76,4.72,18610,55.88,39.79,1.03,0.52,0.55,0,0.26,1.97,29.86,19.26,17.76,17.99,15.13,"Republican"
"3","Angelina County",9143,26.44,25076,72.53,355,1.03,7.4,8.6,32.2,24.5,8.6,11.8,6.8,0.4341,57055,73244,2066.46,41.91,86395,22.84,57.84,14.9,0.23,1.03,0.03,0.23,2.9,32.28,19.48,19.79,12.35,16.1,"Republican"
"4","Aransas County",2916,23.73,9239,75.17,135,1.1,5.4,6,31.8,25.5,7.1,15.7,8.4,0.513,58168,87039,652.85,36.84,23830,25.84,66.37,1.01,0.6,2.01,0.06,0.33,3.78,35.96,23.11,16.24,12.28,12.41,"Republican"
"5","Archer County",446,9.3,4300,89.66,50,1.04,2.4,6.4,37.3,21,7.7,17,8.2,0.4714,69954,94115,2339.51,3.7,8560,8.67,85.93,0.35,0.83,0.21,0,0.25,3.76,37.17,16.14,18.93,14.18,13.59,"Republican"
"6","Armstrong County",75,6.74,1035,93.08,2,0.18,4,3.2,33.1,24.5,9.2,17.7,8.3,0.3626,70417,81158,2354.62,0.81,1848,7.79,86.2,0.32,0.92,0.54,0,0.11,4.11,42.3,18.58,12.35,16.87,9.9,"Republican"
"7","Atascosa County",5876,32.43,12039,66.45,203,1.12,8.5,11,39.8,21,5.3,11,3.5,0.4279,67442,81385,3158.6,15.64,48981,63.65,32.8,0.69,0.24,0.35,0.03,0.36,1.88,26.21,17.85,21.03,19.06,15.85,"Republican"
"8","Austin County",2951,20.28,11447,78.65,156,1.07,5.9,6.2,32.5,24.4,6.8,17.9,6.2,0.4246,73556,92446,1674.42,18.16,30167,26.69,61.26,7.8,0.26,0.67,0.03,0.35,2.95,32.82,15.18,22.83,14.17,14.99,"Republican"
"9","Bailey County",409,21.99,1434,77.1,17,0.91,10.1,16.7,33.6,18.8,5.4,11.1,4.2,0.4378,69830,82529,2141.85,3.22,6904,65.76,31.72,0.71,0.35,0.12,0,0.39,0.96,23.43,7.03,17.87,20.41,31.26,"Republican"
"10","Bandera County",2505,19.7,10057,79.1,153,1.2,2.7,5.3,29.6,24.3,10.7,17.1,10.2,0.4583,70965,93223,2048.66,10.34,20851,19.23,74.79,0.49,0.48,0.46,0.05,0.34,4.15,38.78,19.39,19.42,13.38,9.03,"Republican"
"11","Bastrop County",15474,42.2,20516,55.96,675,1.84,9.3,7.7,30.4,23.6,6,15.7,7.4,0.422,80151,97636,2300.5,42.79,97216,42.67,47.06,5.62,0.32,0.74,0.06,0.43,3.1,32.88,16.68,19.86,15.62,14.96,"Republican"
"12","Baylor County",183,10.75,1494,87.78,25,1.47,2.3,10.7,36.7,19.9,7.1,19.5,3.8,0.4761,52716,71186,2246.76,1.55,3465,12.67,80.72,1.5,0.32,0.26,0,0.23,4.3,41.21,13.96,14.36,16.51,13.96,"Republican"
"13","Bee County",3288,34.9,6006,63.76,126,1.34,7.8,12,33.3,26.9,8.5,6.8,4.7,0.4937,50283,72582,2279.81,13.59,31047,62.46,27.7,7.46,0.17,0.68,0.01,0.21,1.31,29.81,23.3,18.9,12.35,15.63,"Republican"
"14","Bell County",57014,44.76,67893,53.3,2468,1.94,3.5,5.7,25.8,27.8,10.4,17.6,9.1,0.4541,62858,83348,2729.41,136.59,370647,25.22,42.3,21.79,0.39,2.94,0.93,0.56,5.88,35.14,19.01,22.33,10.37,13.15,"Republican"
"15","Bexar County",448452,58.32,308618,40.13,11882,1.55,6.6,7.5,24.6,22.4,8.5,18.8,11.6,0.4641,67275,90894,3212.43,626.96,2009324,59.27,26.66,7.36,0.23,3.25,0.14,0.41,2.69,37.52,18.55,23.12,9.52,11.29,"Democrat"
"16","Blanco County",1911,25.68,5443,73.15,87,1.17,5,4.7,27,23.7,9,23.9,6.8,0.4571,79717,106901,1836.95,6.32,11374,18.39,76.55,0.6,0.32,0.33,0,0.62,3.19,36.68,17.76,22.41,15.54,7.62,"Republican"
"17","Borden County",16,3.85,397,95.43,3,0.72,2.3,3.2,21.2,25.7,8.2,29.2,10.3,0.4616,80625,122340,2324.37,0.3,631,13.63,83.68,0.16,0,0,0,0.16,2.38,34.77,17.2,20.79,17.2,10.04,"Republican"
"18","Bosque County",1561,17.1,7469,81.84,96,1.05,4.5,7.8,32.1,27.4,9.2,13.5,5.5,0.4258,63868,81933,2545.88,7.23,18235,18.21,74.7,1.34,0.46,0.44,0.02,0.16,4.68,29.81,19.29,20.32,15.88,14.71,"Republican"
"19","Bowie County",10747,28.09,27116,70.87,398,1.04,3.4,6.6,35.3,24.3,8.1,14.1,8.2,0.489,56628,78971,2291.98,40.47,92893,8.18,60.13,24.85,0.6,1.16,0.07,0.36,4.65,32.02,20.54,23.79,9.61,14.04,"Republican"
"20","Brazoria County",62228,40.15,90433,58.35,2323,1.5,5,6.2,24.6,23.7,9,20.2,11.2,0.4161,91972,115494,3530.85,106.09,372031,30.97,43.5,14.43,0.27,7.05,0.03,0.37,3.38,43.07,13.85,19.06,11.52,12.51,"Republican"
"21","Brazos County",35349,41.56,47530,55.88,2182,2.57,5.1,5.6,21.1,18.3,6.7,23.5,19.7,0.516,57562,84652,1518.09,154.5,233849,26.97,52.61,10.08,0.21,6.25,0.09,0.43,3.35,44.6,17.1,20.78,7.97,9.55,"Republican"
"22","Brewster County",2258,46.83,2461,51.04,103,2.14,4.2,6.9,16.5,21.5,3.2,28.5,19.2,0.4636,47747,69449,16015.87,0.59,9546,41.51,51.83,1.7,0.31,0.98,0.12,0.59,2.95,35.18,23.18,25.29,7.82,8.53,"Republican"
"23","Briscoe County",78,10.76,639,88.14,8,1.1,7.8,7.7,34.6,22.6,11.7,9.6,6.1,0.5395,35446,58194,2330.99,0.55,1435,25.64,70.24,1.18,0.28,0,0,0.21,2.44,36.49,11.29,18.55,22.38,11.29,"Republican"
