"","County","State","Democrat vote raw","Democrat vote %","Republican vote raw","Republican vote %","Other vote raw","Other vote %","Less than 9th grade","9th to 12th grade","HS graduate and eq","College,No Degree","Associates Degree","Bachelors Degree","Graduate or professional degree","Gini Index","Median income","Mean income","Area","Density","Total Pop","Hispanic or Latino %","NH-White %","NH-Black %","NH-American Native %","NH-Asian %","NH-Native Pacific Islander %","NH-Other Race %","NH-Two or More Races %","% in Management, business, science, and arts","% in Service","% in Sales and Office","% in Resources and Construction","% in Transportation","Party"
"1","Autauga County","Alabama",7503,27.02,19838,71.44,429,1.54,1.7,7.9,31.1,21,8.7,16.7,12.8,0.4541,68315,90372,1539.63,38.17,58805,3.6,70.71,19.3,0.31,1.48,0.04,0.31,4.23,36.39,14.24,22.02,9.99,17.36,"Republican"
"2","Baldwin County","Alabama",24578,22.41,83544,76.17,1557,1.42,2,6.4,27.8,21.7,9.6,20,12.5,0.4648,71039,96027,4117.73,56.69,231767,5.47,80.47,7.77,0.56,0.88,0.05,0.33,4.47,35.62,17.14,24.2,9.91,13.13,"Republican"
"3","Barbour County","Alabama",4816,45.79,5622,53.45,80,0.76,7.3,16.2,36.8,19.9,7.9,6.6,5.3,0.5098,39712,60128,2292.16,10.85,25223,5.99,43.95,46.98,0.23,0.41,0,0.25,2.19,27.73,20.16,19.49,12.53,20.09,"Republican"
"4","Bibb County","Alabama",1986,20.7,7525,78.43,84,0.88,6.4,14.7,40.9,19.1,8,6.6,4.3,0.4553,50669,65131,1612.19,13.8,22293,3.32,73.75,19.69,0.17,0.12,0.04,0.21,2.69,22.22,15.32,20.57,16.43,25.47,"Republican"
"5","Blount County","Alabama",2640,9.57,24711,89.57,237,0.86,7.1,11.1,35.3,20.7,11,9.4,5.3,0.4475,57440,75954,1670.26,35.37,59134,9.76,84.15,1.4,0.32,0.29,0.02,0.17,3.89,26.75,12.98,22.73,15.81,21.73,"Republican"
"6","Bullock County","Alabama",3446,74.7,1146,24.84,21,0.46,9.9,16.7,41.3,19.5,3.2,6.9,2.5,0.5058,36136,52269,1613.08,6.4,10357,4.86,22.02,71.33,0.01,0.09,0.07,0.3,1.32,20.73,18.19,9.83,16.88,34.38,"Democrat"
"7","Butler County","Alabama",3965,41.79,5458,57.53,65,0.69,3.9,8.5,48,19.1,7.4,7.8,5.3,0.4837,44429,65988,2012,9.43,19051,1.36,50.81,44.03,0.12,0.75,0.03,0.24,2.66,25.04,15.28,22.62,10.47,26.59,"Republican"
"8","Calhoun County","Alabama",15216,29.85,35101,68.85,666,1.31,4.4,10.5,34.6,23.2,8.1,11.5,7.6,0.4519,54339,69213,1569.25,74.02,116441,4.3,68.29,21.78,0.33,1,0.1,0.27,3.92,29.79,18.19,21,9.92,21.1,"Republican"
"9","Chambers County","Alabama",6365,41.64,8753,57.27,166,1.09,5.8,10.8,39.5,20.3,10.9,9.2,3.5,0.4371,48805,64377,1545.07,22.4,34772,3.56,53.54,38.65,0.2,1.11,0.03,0.33,2.58,26.71,17.74,17.31,9.73,28.51,"Republican"
"10","Cherokee County","Alabama",1624,13.2,10583,86.03,94,0.76,6.6,11.5,36.1,19.3,12,8.3,6.3,0.4484,46621,65664,1433.62,17.49,24971,1.6,90.36,3.95,0.44,0.22,0,0.18,3.24,34.57,16.41,16.83,11.98,20.21,"Republican"
